price,area,bedroom,bathroom,facade,urgent,floor,district,mean_land_price_of_district,facility
5.0,40.0,3.0,3.0,1.0,1.0,3.0,TAN BINH,0.10818958685246544,2.0
5.1,52.0,3.0,3.0,0.0,0.0,1.0,BINH THANH,0.11057247745426507,0.0
5.38,75.0,4.0,4.0,1.0,0.0,4.0,BINH TAN,0.0799054007556501,1.0
3.55,35.0,1.0,1.0,1.0,1.0,2.0,8,0.10265030798817504,0.0
7.4,45.0,2.0,2.0,0.0,0.0,2.0,TAN BINH,0.10818958685246544,3.0
6.6,94.0,1.0,1.0,1.0,1.0,1.0,BINH THANH,0.11057247745426507,0.0
6.3,53.0,2.0,1.0,1.0,0.0,1.0,11,0.11410860554881458,0.0
6.3,62.0,2.0,2.0,1.0,0.0,2.0,10,0.1246569785410537,0.0
8.0,38.0,4.0,5.0,1.0,0.0,3.0,1,0.1352847565715967,0.0
6.3,45.0,2.0,2.0,1.0,0.0,2.0,TAN BINH,0.10818958685246544,0.0
4.85,63.0,4.0,3.0,0.0,1.0,3.0,BINH TAN,0.0799054007556501,0.0
8.69,60.0,4.0,5.0,0.0,0.0,3.0,10,0.1246569785410537,3.0
4.5,100.0,3.0,1.0,0.0,1.0,2.0,THU DUC,0.07739925980445196,3.0
3.35,40.0,2.0,1.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,0.0
8.5,90.0,5.0,6.0,1.0,0.0,4.0,GO VAP,0.10348560001584498,0.0
3.35,40.0,2.0,2.0,1.0,1.0,2.0,TAN PHU,0.08977856929214675,0.0
5.5,46.0,3.0,2.0,1.0,1.0,3.0,TAN BINH,0.10818958685246544,0.0
5.2,46.0,3.0,3.0,0.0,1.0,4.0,TAN BINH,0.10818958685246544,0.0
8.9,60.0,2.0,2.0,1.0,1.0,1.0,2,0.09464763979473478,1.0
6.5,54.0,3.0,4.0,1.0,0.0,3.0,GO VAP,0.10348560001584498,1.0
4.3,50.0,3.0,3.0,1.0,0.0,4.0,8,0.10265030798817504,0.0
5.5,52.0,4.0,3.0,1.0,0.0,3.0,BINH TAN,0.0799054007556501,1.0
8.7,92.0,4.0,3.0,1.0,0.0,3.0,TAN BINH,0.10818958685246544,0.0
7.5,90.0,1.0,1.0,1.0,1.0,3.0,GO VAP,0.10348560001584498,0.0
7.3,72.0,1.0,1.0,1.0,0.0,2.0,BINH TAN,0.0799054007556501,2.0
6.7,80.0,1.0,1.0,1.0,0.0,2.0,BINH TAN,0.0799054007556501,2.0
7.3,56.0,4.0,5.0,1.0,0.0,2.0,GO VAP,0.10348560001584498,2.0
4.5,56.0,3.0,3.0,1.0,1.0,3.0,TAN PHU,0.08977856929214675,4.0
8.0,81.0,7.0,1.0,0.0,0.0,3.0,11,0.11410860554881458,0.0
4.89,35.0,1.0,1.0,1.0,1.0,1.0,TAN BINH,0.10818958685246544,0.0
2.5,20.0,2.0,1.0,0.0,0.0,2.0,11,0.11410860554881458,2.0
8.79,81.0,5.0,5.0,0.0,0.0,4.0,GO VAP,0.10348560001584498,1.0
8.79,81.0,5.0,5.0,1.0,0.0,4.0,GO VAP,0.10348560001584498,1.0
8.2,80.0,2.0,2.0,1.0,0.0,2.0,BINH TAN,0.0799054007556501,1.0
6.5,68.0,4.0,4.0,0.0,0.0,3.0,GO VAP,0.10348560001584498,1.0
4.1,51.0,2.0,2.0,0.0,0.0,1.0,TAN PHU,0.08977856929214675,1.0
6.2,64.0,6.0,6.0,1.0,0.0,1.0,BINH THANH,0.11057247745426507,1.0
3.7,40.0,2.0,2.0,0.0,0.0,2.0,THU DUC,0.07739925980445196,4.0
2.9,35.0,2.0,1.0,0.0,0.0,2.0,TAN BINH,0.10818958685246544,0.0
4.99,52.0,3.0,1.0,1.0,0.0,1.0,TAN BINH,0.10818958685246544,0.0
3.5,50.1,3.0,3.0,0.0,1.0,2.0,THU DUC,0.07739925980445196,1.0
7.0,80.0,3.0,1.0,1.0,1.0,2.0,TAN BINH,0.10818958685246544,2.0
6.38,59.0,3.0,3.0,0.0,0.0,3.0,2,0.09464763979473478,1.0
5.2,50.0,2.0,2.0,1.0,0.0,2.0,BINH THANH,0.11057247745426507,2.0
1.4,21.0,2.0,1.0,0.0,0.0,2.0,THU DUC,0.07739925980445196,1.0
7.8,64.0,2.0,3.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,2.0
5.19,50.0,1.0,1.0,0.0,0.0,1.0,TAN BINH,0.10818958685246544,2.0
5.29,44.0,1.0,1.0,0.0,0.0,1.0,10,0.1246569785410537,0.0
3.8,25.0,3.0,3.0,1.0,0.0,4.0,1,0.1352847565715967,1.0
4.99,54.0,4.0,3.0,0.0,0.0,4.0,9,0.0778805983721728,2.0
